PerCent,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,CumulativeChangefrom2014to2024,CumulativeChangefrom2014to2019,CumulativeChangefrom2019to2024,AnnualisedChangefrom2013to2024,AnnualisedChangefrom2014to2019,AnnualisedChangefrom2019to2024
10th,-1.5,0,-1.1,-2.2,-1.3,5.1,4.2,1.9,-2.1,3.5,5.1,-0.7,1,7,8.7,2.3,3.5,2.1,4.4,-3.9,5.6,6.6,0.1,-0.9,31.5,22.6,7.3,2.8,4.2,1.4
20th,1.3,-3,-1.2,2.4,-0.8,5.6,2.9,2.7,-2.5,5.1,3.6,0.7,3,4.8,6.4,4.3,3.2,2.8,4.3,-1,4.9,3.5,0.3,1.4,34.3,22.8,9.4,3,4.2,1.8
30th,2.1,-1.8,-0.2,2.2,1.9,4.7,4.3,4.3,-0.9,4.3,2.9,1.7,3,5.6,5.8,2.9,2.2,3.5,3.7,-2,4.4,2,1.6,0.6,27.6,19.5,6.7,2.5,3.6,1.3
40th,5.3,-1.7,0.1,0.7,2.1,4,5.1,5.5,-2.2,4.5,1.9,1.5,3.2,5.7,5.6,2.1,3.4,3.3,4.8,-1.7,4,2.4,1.6,0.4,28.8,20.6,6.8,2.6,3.8,1.3
50th (Median),6.1,-2.3,0.8,0,3.7,3.6,4.9,5.4,-1.8,3.8,2.1,1.6,3.2,4.8,4.8,3.4,3.9,3.3,4.1,-1.4,3.4,2.4,1.2,1,29.1,21.1,6.6,2.6,3.9,1.3
60th,7.7,-2.3,0.2,1,3.9,3.4,5.7,5.5,-2.6,3.2,1.8,1.8,2.5,4.7,5.6,3,4.3,2,6,-1.7,2.3,2.1,1.7,0.8,29.1,22.7,5.3,2.6,4.2,1
70th,8.4,-1.8,0.9,-0.3,4.9,2.8,6.9,5.5,-3,3.2,2,0.3,2.6,4.8,5.7,3.3,3.8,3.7,5.1,-2.1,1.8,2.5,1.7,1.1,29.7,23.4,5.1,2.6,4.3,1
80th,9.4,-1.7,0.8,0.4,4.5,4.4,7.8,4.4,-4.2,3.9,1.7,0.2,2.4,5.2,5.1,2.5,4.5,4.3,4.4,-2.4,1.6,2,1.2,0.8,26.6,22.6,3.2,2.4,4.2,0.6
90th,12.1,-1.7,0.7,3.1,5.3,7,6.4,4.5,-3.6,4.9,0.7,1.1,0,7,5.8,0.8,6.6,2.7,3.1,-1.7,1,0.5,-0.1,1.9,22.1,20.4,1.4,2,3.8,0.3
