month,Net Category A,Net Category B,Net Category D
2010-01-01,1764,1497,180
2010-02-01,536,1204,173
2010-03-01,754,869,126
2010-04-01,591,970,38
2010-05-01,354,917,-19
2010-06-01,308,1094,79
2010-07-01,310,976,108
2010-08-01,291,838,82
2010-09-01,245,1075,85
2010-10-01,150,938,50
2010-11-01,215,868,-9
2010-12-01,36,1403,48
2011-01-01,435,838,60
2011-02-01,42,635,-127
2011-03-01,-28,733,-156
2011-04-01,-69,1033,-211
2011-05-01,-652,1018,-310
2011-06-01,-206,1223,-115
2011-07-01,-397,947,-110
2011-08-01,-2855,594,-76
2011-09-01,605,880,-193
2011-10-01,311,940,-58
2011-11-01,389,841,-240
2011-12-01,395,884,-68
2012-01-01,423,822,-168
2012-02-01,612,859,5
2012-03-01,510,819,-68
2012-04-01,398,577,-300
2012-05-01,364,706,-62
2012-06-01,661,835,-144
2012-07-01,370,794,-213
2012-08-01,375,437,-212
2012-09-01,496,722,-464
2012-10-01,398,652,-334
2012-11-01,509,555,-253
2012-12-01,193,733,-174
2013-01-01,264,603,-243
2013-02-01,-63,144,-86
2013-03-01,-145,253,-172
2013-04-01,-269,124,-290
2013-05-01,9,251,179
2013-06-01,154,488,0
2013-07-01,-8,197,309
2013-08-01,32,437,204
2013-09-01,219,372,295
2013-10-01,-148,237,330
2013-11-01,-112,248,89
2013-12-01,-71,519,405
2014-01-01,-167,297,257
2014-02-01,-350,179,61
2014-03-01,-524,-154,-199
2014-04-01,-579,-104,-166
2014-05-01,-366,121,-49
2014-06-01,-328,310,-24
2014-07-01,-570,95,-22
2014-08-01,-334,253,16
2014-09-01,-619,366,238
2014-10-01,-819,54,-100
2014-11-01,-799,191,-54
2014-12-01,-781,-130,135
2015-01-01,-1627,-123,-23
2015-02-01,-836,115,-128
2015-03-01,-2072,-458,-137
2015-04-01,-1752,-313,-110
2015-05-01,-1126,-121,-195
2015-06-01,92,772,-100
2015-07-01,-2021,-992,-99
2015-08-01,-806,302,-57
2015-09-01,-945,129,-68
2015-10-01,-829,-101,-98
2015-11-01,-652,-37,-79
2015-12-01,-904,5,-30
2016-01-01,-544,51,-40
2016-02-01,-866,-91,-209
2016-03-01,-1813,-935,-336
2016-04-01,-578,169,34
2016-05-01,417,338,-92
2016-06-01,783,542,-49
2016-07-01,-385,392,20
2016-08-01,202,223,112
2016-09-01,688,674,6
2016-10-01,-228,636,-162
2016-11-01,-789,690,-135
2016-12-01,-778,187,22
2017-01-01,-694,919,-203
2017-02-01,59,-69,50
2017-03-01,238,820,-210
2017-04-01,-242,529,-394
2017-05-01,399,971,-103
2017-06-01,303,1242,-87
2017-07-01,-88,852,30
2017-08-01,26,1025,-220
2017-09-01,-720,107,-30
2017-10-01,-138,675,-184
2017-11-01,383,974,10
2017-12-01,929,2487,195
2018-01-01,-254,-1199,-532
2018-02-01,210,303,-513
2018-03-01,364,270,-584
2018-04-01,-262,832,-487
2018-05-01,236,650,-1011
2018-06-01,2104,1771,-735
2018-07-01,-2154,291,-442
2018-08-01,-1280,459,-350
2018-09-01,-999,724,-67
2018-10-01,-638,1085,-208
2018-11-01,-634,835,281
2018-12-01,-535,1053,186
2019-01-01,673,1604,259
2019-02-01,-162,434,80
2019-03-01,96,751,93
2019-04-01,1196,526,76
2019-05-01,1251,473,267
2019-06-01,1187,699,521
2019-07-01,1208,817,539
2019-08-01,214,582,286
2019-09-01,421,901,152
2019-10-01,10,685,74
2019-11-01,304,496,298
2019-12-01,11,280,778
2020-01-01,-79,750,-299
2020-02-01,250,600,-32
2020-03-01,-147,453,80
2020-04-01,-1444,-975,16
2020-05-01,-1171,-818,63
2020-06-01,-1307,-987,-320
2020-07-01,212,1150,193
2020-08-01,527,1107,66
2020-09-01,441,873,155
2020-10-01,573,991,124
2020-11-01,313,1258,275
2020-12-01,-134,1024,70
2021-01-01,1069,1372,-36
2021-02-01,269,901,-45
2021-03-01,-30,890,-4
2021-04-01,76,701,196
2021-05-01,-353,442,35
2021-06-01,68,804,-4
2021-07-01,349,477,328
2021-08-01,-5,905,68
2021-09-01,445,1163,100
2021-10-01,227,144,32
2021-11-01,154,429,77
2021-12-01,94,529,66
2022-01-01,-68,446,-41
2022-02-01,-57,323,-176
2022-03-01,-568,168,-268
2022-04-01,11,370,75
2022-05-01,358,683,261
2022-06-01,317,959,259
2022-07-01,287,358,225
2022-08-01,172,268,269
2022-09-01,1,397,103
2022-10-01,-9,517,106
2022-11-01,-324,175,15
2022-12-01,220,530,43
2023-01-01,19,342,-210
2023-02-01,157,390,10
2023-03-01,-276,191,-383
2023-04-01,-383,75,-153
2023-05-01,-811,77,334
2023-06-01,-150,54,306
2023-07-01,-155,128,112
2023-08-01,-308,191,113
2023-09-01,-218,38,143
2023-10-01,-273,30,204
2023-11-01,-259,43,147
2023-12-01,654,1080,414
2024-01-01,-808,-162,36
2024-02-01,-317,-85,-47
2024-03-01,-536,349,381
2024-04-01,-559,430,463
2024-05-01,-31,423,430
2024-06-01,924,881,481
2024-07-01,998,587,387
2024-08-01,316,608,193
2024-09-01,291,600,262
2024-10-01,33,-26,281
2024-11-01,508,254,467
2024-12-01,955,809,574
2025-01-01,-720,-198,202
2025-02-01,725,-54,435
2025-03-01,34,471,271
2025-04-01,142,-46,187
2025-05-01,113,273,470
2025-06-01,283,60,322
2025-07-01,451,91,256
2025-08-01,-134,-151,329
2025-09-01,259,171,594
2025-10-01,-562,-181,297
2025-11-01,114,61,483
